,s0_diff,s1_diff,s2_diff
263,7.0,5.0,2.200000000000003
264,6.0,6.599999999999994,2.799999999999997
265,8.0,7.0,3.200000000000003
266,8.0,6.400000000000006,5.0
267,6.0,5.599999999999994,6.599999999999994
268,4.0,5.200000000000017,7.0
269,2.0,5.599999999999994,6.400000000000006
270,6.0,6.400000000000006,5.599999999999994
271,10.0,7.399999999999977,5.199999999999989
272,10.0,8.600000000000023,5.600000000000023
273,9.0,9.199999999999989,6.399999999999977
274,8.0,9.199999999999989,7.400000000000006
275,9.0,8.799999999999983,8.599999999999994
276,10.0,8.600000000000023,9.200000000000017
277,8.0,8.799999999999983,9.199999999999989
278,8.0,8.799999999999983,8.800000000000011
279,9.0,8.000000000000028,8.599999999999994
280,9.0,7.599999999999966,8.800000000000011
281,6.0,7.0,8.799999999999983
282,6.0,6.400000000000034,8.0
283,5.0,5.999999999999943,7.599999999999994
284,6.0,4.800000000000011,7.0
285,7.0,4.000000000000057,6.400000000000034
286,0.0,2.7999999999999545,6.0
287,2.0,1.3999999999999773,4.7999999999999545
288,-1.0,-0.1999999999999318,4.0
289,-1.0,-0.4000000000000341,2.8000000000000114
290,-1.0,-1.1999999999999886,1.400000000000034
291,-1.0,-1.2000000000000455,-0.20000000000004547
292,-2.0,-1.1999999999999318,-0.39999999999997726
293,-1.0,-0.6000000000000227,-1.1999999999999886
294,-1.0,0.39999999999997726,-1.1999999999999886
295,2.0,1.8000000000000114,-1.2000000000000455
296,4.0,2.8000000000000114,-0.5999999999999659
297,5.0,3.1999999999999886,0.39999999999997726
298,4.0,2.6000000000000227,1.8000000000000114
299,1.0,1.3999999999999773,2.8000000000000114
300,-1.0,0.19999999999998863,3.1999999999999886
301,-2.0,-0.19999999999998863,2.6000000000000227
302,-1.0,0.19999999999998863,1.3999999999999773
303,2.0,0.4000000000000341,0.19999999999998863
304,3.0,0.5999999999999659,-0.19999999999998863
305,0.0,1.0,0.19999999999998863
306,-1.0,2.0,0.4000000000000341
307,1.0,3.8000000000000114,0.5999999999999659
308,7.0,5.800000000000011,1.0
309,12.0,7.399999999999977,2.0
310,10.0,8.0,3.8000000000000114
311,7.0,9.799999999999955,5.800000000000011
312,4.0,8.400000000000034,7.399999999999977
313,16.0,6.2000000000000455,8.0
314,5.0,4.7999999999999545,9.800000000000011
315,-1.0,4.199999999999989,8.399999999999977
316,0.0,0.8000000000000682,6.2000000000000455
317,1.0,-0.8000000000000682,4.7999999999999545
318,-1.0,-1.6000000000000227,4.2000000000000455
319,-3.0,-3.3999999999999773,0.7999999999999545
320,-5.0,-5.399999999999977,-0.7999999999999545
321,-9.0,-5.199999999999989,-1.6000000000000227
322,-9.0,-5.199999999999989,-3.3999999999999773
323,0.0,-5.600000000000023,-5.400000000000034
324,-3.0,-5.0,-5.199999999999989
325,-7.0,-4.600000000000023,-5.199999999999989
326,-6.0,-5.7999999999999545,-5.600000000000023
327,-7.0,-5.400000000000034,-5.0
328,-6.0,-4.599999999999966,-4.599999999999966
329,-1.0,-4.600000000000023,-5.800000000000011
330,-3.0,-6.600000000000023,-5.400000000000034
331,-6.0,-6.7999999999999545,-4.599999999999966
332,-17.0,-7.800000000000011,-4.600000000000023
333,-7.0,-7.999999999999943,-6.599999999999966
334,-6.0,-7.800000000000068,-6.800000000000011
335,-4.0,-5.599999999999966,-7.800000000000011
336,-5.0,-3.8000000000000114,-8.0
337,-6.0,-2.5999999999999943,-7.800000000000011
338,2.0,-1.799999999999983,-5.599999999999966
339,0.0,-0.6000000000000227,-3.8000000000000114
340,0.0,0.19999999999998863,-2.6000000000000227
341,1.0,-0.39999999999997726,-1.799999999999983
342,-2.0,-0.8000000000000114,-0.5999999999999943
343,-1.0,-1.200000000000017,0.19999999999998863
344,-2.0,-1.1999999999999886,-0.4000000000000057
345,-2.0,-1.200000000000017,-0.799999999999983
346,1.0,-1.5999999999999943,-1.200000000000017
347,-2.0,-1.5999999999999943,-1.1999999999999886
348,-3.0,-2.0,-1.200000000000017
349,-2.0,-3.1999999999999886,-1.5999999999999943
350,-4.0,-3.0,-1.5999999999999943
351,-5.0,-2.5999999999999943,-2.0
352,-1.0,-2.4000000000000057,-3.1999999999999886
353,-1.0,-1.5999999999999943,-3.0
354,-1.0,-0.5999999999999943,-2.6000000000000227
355,0.0,-0.20000000000001705,-2.3999999999999773
356,0.0,0.799999999999983,-1.6000000000000227
357,1.0,2.400000000000034,-0.5999999999999943
358,4.0,4.199999999999989,-0.19999999999998863
359,7.0,6.199999999999989,0.799999999999983
360,9.0,7.400000000000006,2.4000000000000057
361,10.0,7.400000000000006,4.200000000000017
362,7.0,6.7999999999999545,6.199999999999989
363,4.0,5.400000000000034,7.400000000000006
364,4.0,3.400000000000034,7.400000000000006
365,2.0,2.599999999999966,6.800000000000011
366,0.0,2.1999999999999886,5.399999999999977
367,3.0,2.0,3.3999999999999773
368,2.0,2.0,2.6000000000000227
369,3.0,1.8000000000000114,2.1999999999999886
370,2.0,0.8000000000000114,2.0
371,-1.0,1.1999999999999886,2.0
372,-2.0,1.8000000000000114,1.8000000000000114
373,4.0,2.1999999999999886,0.8000000000000114
374,6.0,4.199999999999989,1.1999999999999886
375,4.0,5.0,1.8000000000000114
376,9.0,4.2000000000000455,2.1999999999999886
377,2.0,3.199999999999932,4.199999999999989
378,0.0,2.8000000000000114,5.0
379,1.0,1.8000000000000114,4.199999999999989
380,2.0,1.8000000000000114,3.2000000000000455
381,4.0,1.599999999999966,2.7999999999999545
382,2.0,1.0,1.8000000000000114
383,-1.0,5.684341886080802e-14,1.8000000000000114
384,-2.0,-1.6000000000000227,1.6000000000000227
385,-3.0,-3.0,1.0
386,-4.0,-3.400000000000034,0.0
387,-5.0,-4.199999999999932,-1.6000000000000227
388,-3.0,-5.400000000000034,-3.0
389,-6.0,-5.399999999999977,-3.3999999999999773
390,-9.0,-5.2000000000000455,-4.2000000000000455
391,-4.0,-5.399999999999977,-5.399999999999977
392,-4.0,-4.600000000000023,-5.399999999999977
393,-4.0,-1.8000000000000114,-5.2000000000000455
394,-2.0,-0.9999999999999432,-5.399999999999977
395,5.0,-0.8000000000000114,-4.600000000000023
396,0.0,0.5999999999999659,-1.7999999999999545
397,-3.0,1.400000000000034,-1.0
398,3.0,1.3999999999999773,-0.8000000000000114
399,2.0,2.1999999999999886,0.5999999999999659
400,5.0,3.0,1.400000000000034
401,4.0,2.1999999999999886,1.3999999999999773
402,1.0,1.0000000000000568,2.1999999999999886
403,-1.0,-0.6000000000000227,3.0
404,-4.0,-1.8000000000000114,2.2000000000000455
405,-3.0,-2.0,1.0
406,-2.0,-1.3999999999999773,-0.6000000000000227
407,0.0,-0.39999999999997726,-1.8000000000000114
408,2.0,0.39999999999997726,-2.0
409,1.0,0.8000000000000114,-1.3999999999999773
410,1.0,0.5999999999999659,-0.4000000000000341
411,0.0,-0.19999999999998863,0.4000000000000341
412,-1.0,-1.0,0.8000000000000114
413,-2.0,-1.3999999999999773,0.5999999999999659
414,-3.0,-1.2000000000000455,-0.19999999999998863
415,-1.0,-1.1999999999999886,-1.0
416,1.0,-1.1999999999999318,-1.3999999999999773
417,-1.0,-0.6000000000000227,-1.2000000000000455
418,-2.0,-0.8000000000000682,-1.1999999999999886
419,0.0,-1.9999999999999432,-1.1999999999999886
420,-2.0,-2.400000000000034,-0.6000000000000227
421,-5.0,-2.599999999999966,-0.7999999999999545
422,-3.0,-2.6000000000000227,-2.0
423,-3.0,-2.1999999999999886,-2.400000000000034
424,0.0,-0.7999999999999545,-2.599999999999966
425,0.0,0.1999999999999318,-2.6000000000000227
426,2.0,0.8000000000000114,-2.1999999999999886
427,2.0,0.5999999999999659,-0.8000000000000114
428,0.0,0.20000000000004547,0.19999999999998863
429,-1.0,-0.6000000000000227,0.8000000000000114
430,-2.0,-1.1999999999999886,0.6000000000000227
431,-2.0,-1.0,0.19999999999998863
432,-1.0,-0.5999999999999659,-0.6000000000000227
433,1.0,-0.20000000000004547,-1.1999999999999886
434,1.0,0.0,-1.0
435,0.0,0.20000000000004547,-0.6000000000000227
436,-1.0,0.0,-0.19999999999998863
437,0.0,0.0,0.0
438,0.0,0.39999999999997726,0.19999999999998863
439,1.0,0.7999999999999545,0.0
440,2.0,0.6000000000000227,0.0
441,1.0,0.4000000000000341,0.4000000000000341
442,-1.0,0.0,0.8000000000000114
443,-1.0,-1.0,0.5999999999999659
444,-1.0,-1.8000000000000114,0.4000000000000341
445,-3.0,-2.1999999999999886,0.0
446,-3.0,-2.4000000000000057,-1.0
447,-3.0,-2.0000000000000284,-1.8000000000000114
448,-2.0,-1.5999999999999943,-2.200000000000017
449,1.0,-0.9999999999999716,-2.4000000000000057
450,-1.0,-0.4000000000000341,-2.0
451,0.0,2.842170943040401e-14,-1.5999999999999943
452,0.0,0.19999999999998863,-1.0
453,0.0,0.5999999999999943,-0.4000000000000057
454,2.0,-0.20000000000001705,0.0
455,1.0,-0.4000000000000057,0.20000000000001705
456,-4.0,-0.9999999999999432,0.5999999999999943
457,-1.0,-3.2000000000000455,-0.19999999999998863
458,-3.0,-4.0,-0.4000000000000057
459,-9.0,-3.1999999999999886,-1.0
460,-3.0,-3.1999999999999886,-3.200000000000017
461,0.0,-2.5999999999999943,-4.0
462,-1.0,-0.8000000000000114,-3.1999999999999886
463,0.0,-0.4000000000000057,-3.1999999999999886
464,0.0,-0.5999999999999659,-2.6000000000000227
465,-1.0,-1.200000000000017,-0.799999999999983
466,-1.0,-3.4000000000000057,-0.4000000000000057
467,-4.0,-6.400000000000006,-0.5999999999999943
468,-11.0,-9.200000000000017,-1.200000000000017
469,-15.0,-13.199999999999989,-3.3999999999999773
470,-15.0,-15.799999999999983,-6.400000000000006
471,-21.0,-16.799999999999983,-9.200000000000017
472,-17.0,-15.200000000000017,-13.199999999999989
473,-16.0,-13.799999999999983,-15.800000000000011
474,-7.0,-10.0,-16.799999999999983
475,-8.0,-5.799999999999983,-15.200000000000017
476,-2.0,-1.0000000000000142,-13.799999999999983
477,4.0,1.4000000000000057,-10.0
478,8.0,3.799999999999997,-5.800000000000011
479,5.0,4.400000000000006,-1.0
480,4.0,3.0,1.4000000000000057
481,1.0,1.0,3.799999999999997
482,-3.0,0.19999999999998863,4.400000000000006
483,-2.0,0.0,2.999999999999986
484,1.0,1.1999999999999886,1.0
485,3.0,3.200000000000017,0.20000000000001705
486,7.0,4.400000000000006,0.0
487,7.0,4.399999999999977,1.1999999999999886
488,4.0,3.8000000000000114,3.200000000000017
489,1.0,2.0,4.399999999999977
490,0.0,-0.20000000000001705,4.400000000000006
491,-2.0,-1.9999999999999716,3.8000000000000114
492,-4.0,-3.6000000000000227,2.0
493,-5.0,-5.0,-0.20000000000001705
494,-7.0,-6.0,-2.0
495,-7.0,-5.799999999999997,-3.5999999999999943
496,-7.0,-5.3999999999999915,-5.0
497,-3.0,-4.599999999999994,-6.0
498,-3.0,-3.8000000000000114,-5.799999999999997
499,-3.0,-3.1999999999999886,-5.3999999999999915
500,-3.0,-3.4000000000000057,-4.6000000000000085
501,-4.0,-3.5999999999999943,-3.799999999999997
502,-4.0,-3.8000000000000114,-3.200000000000003
503,-4.0,-3.3999999999999915,-3.3999999999999915
504,-4.0,-2.799999999999997,-3.6000000000000085
505,-1.0,-2.0,-3.799999999999997
506,-1.0,-1.2000000000000028,-3.4000000000000057
507,0.0,-0.6000000000000085,-2.799999999999997
508,0.0,-0.799999999999983,-2.0
509,-1.0,-0.8000000000000114,-1.2000000000000028
510,-2.0,-1.1999999999999886,-0.5999999999999943
511,-1.0,-1.200000000000017,-0.7999999999999972
512,-2.0,-0.5999999999999943,-0.7999999999999972
513,0.0,0.0,-1.2000000000000028
514,2.0,0.20000000000000284,-1.2000000000000028
515,1.0,1.2000000000000028,-0.5999999999999943
516,0.0,2.0,0.0
517,3.0,3.0,0.19999999999998863
518,4.0,4.599999999999994,1.2000000000000028
519,7.0,6.800000000000011,2.0
520,9.0,8.199999999999989,3.0
521,11.0,9.799999999999997,4.6000000000000085
522,10.0,11.000000000000014,6.799999999999997
523,12.0,11.799999999999983,8.200000000000003
524,13.0,12.0,9.799999999999997
525,13.0,12.599999999999994,10.999999999999986
526,12.0,13.0,11.800000000000011
527,13.0,13.0,12.0
528,14.0,12.400000000000006,12.599999999999994
529,13.0,11.599999999999994,13.0
530,10.0,10.0,13.0
531,8.0,7.0,12.400000000000006
532,5.0,2.599999999999966,11.599999999999994
533,-1.0,-0.799999999999983,10.0
534,-9.0,-2.799999999999983,7.0
535,-7.0,-4.400000000000034,2.5999999999999943
536,-2.0,-5.399999999999977,-0.799999999999983
537,-3.0,-4.800000000000011,-2.8000000000000114
538,-6.0,-5.0,-4.400000000000006
539,-6.0,-6.199999999999989,-5.399999999999977
540,-8.0,-7.199999999999989,-4.800000000000011
541,-8.0,-7.800000000000011,-5.0
542,-8.0,-8.0,-6.199999999999989
543,-9.0,-7.800000000000011,-7.200000000000017
544,-7.0,-7.399999999999977,-7.799999999999983
545,-7.0,-6.600000000000023,-8.0
546,-6.0,-4.599999999999966,-7.800000000000011
547,-4.0,-3.0000000000000284,-7.400000000000006
548,1.0,-1.3999999999999773,-6.599999999999994
549,1.0,0.20000000000001705,-4.599999999999994
550,1.0,1.1999999999999886,-3.0
551,2.0,1.3999999999999773,-1.4000000000000057
552,1.0,1.400000000000034,0.19999999999998863
553,2.0,0.9999999999999716,1.200000000000017
554,1.0,-0.19999999999998863,1.4000000000000057
555,-1.0,-2.200000000000017,1.3999999999999773
556,-4.0,-5.199999999999989,1.0
557,-9.0,-7.199999999999989,-0.19999999999998863
558,-13.0,-8.0,-2.1999999999999886
559,-9.0,-7.799999999999997,-5.200000000000017
560,-5.0,-5.400000000000006,-7.199999999999989
561,-3.0,-1.9999999999999858,-8.0
562,3.0,0.5999999999999943,-7.800000000000011
563,4.0,2.5999999999999943,-5.3999999999999915
564,4.0,3.999999999999986,-2.0
565,5.0,4.40000000000002,0.5999999999999943
566,4.0,4.199999999999989,2.6000000000000085
567,5.0,3.799999999999983,4.0
568,3.0,3.0,4.400000000000006
569,2.0,2.6000000000000227,4.199999999999989
570,1.0,1.8000000000000114,3.8000000000000114
571,2.0,1.3999999999999773,3.0
572,1.0,1.4000000000000057,2.5999999999999943
573,1.0,1.4000000000000057,1.799999999999983
574,2.0,1.1999999999999886,1.4000000000000057
575,1.0,1.5999999999999943,1.4000000000000057
576,1.0,1.8000000000000114,1.4000000000000057
577,3.0,2.4000000000000057,1.1999999999999886
578,2.0,3.3999999999999773,1.5999999999999943
579,5.0,4.200000000000017,1.8000000000000114
580,6.0,3.8000000000000114,2.4000000000000057
581,5.0,2.9999999999999716,3.4000000000000057
582,1.0,1.4000000000000057,4.199999999999989
583,-2.0,-0.4000000000000057,3.8000000000000114
584,-3.0,-1.3999999999999773,3.0
585,-3.0,-1.6000000000000227,1.3999999999999773
586,0.0,-1.3999999999999773,-0.39999999999997726
587,0.0,-0.8000000000000114,-1.4000000000000057
588,-1.0,0.19999999999998863,-1.5999999999999943
589,0.0,2.0,-1.4000000000000057
590,2.0,4.0,-0.8000000000000114
591,9.0,5.800000000000011,0.20000000000001705
592,10.0,7.199999999999989,2.0
593,8.0,8.800000000000011,4.0
594,7.0,11.0,5.799999999999983
595,10.0,10.399999999999977,7.200000000000017
596,20.0,11.0,8.799999999999983
597,7.0,10.400000000000034,11.0
598,11.0,7.599999999999966,10.400000000000006
599,4.0,1.8000000000000114,11.0
600,-4.0,-1.799999999999983,10.400000000000006
601,-9.0,-6.800000000000011,7.599999999999994
602,-11.0,-9.599999999999994,1.8000000000000114
603,-14.0,-10.800000000000011,-1.8000000000000114
604,-10.0,-11.599999999999994,-6.800000000000011
605,-10.0,-12.400000000000006,-9.599999999999994
606,-13.0,-13.0,-10.799999999999983
607,-15.0,-13.599999999999994,-11.600000000000023
