,s0_train,s1_train,s2_train
105,110.0,107.79999999999998,107.6
106,108.0,107.39999999999998,107.6
107,106.0,106.39999999999998,107.8
108,104.0,105.39999999999998,107.8
109,104.0,104.59999999999998,107.4
110,105.0,103.6,106.4
111,104.0,102.59999999999998,105.4
112,101.0,101.19999999999999,104.6
113,99.0,99.39999999999998,103.6
114,97.0,97.79999999999998,102.6
115,96.0,96.39999999999999,101.2
116,96.0,94.6,99.4
117,94.0,91.99999999999997,97.8
118,90.0,89.39999999999998,96.4
119,84.0,86.79999999999998,94.6
120,83.0,84.79999999999998,92.0
121,83.0,83.99999999999999,89.4
122,84.0,84.59999999999998,86.8
123,86.0,85.79999999999998,84.8
124,87.0,86.99999999999999,84.0
125,89.0,87.59999999999998,84.6
126,89.0,87.19999999999999,85.8
127,87.0,86.19999999999999,87.0
128,84.0,84.59999999999998,87.6
129,82.0,83.19999999999999,87.2
130,81.0,82.39999999999998,86.2
131,82.0,82.39999999999998,84.6
132,83.0,83.19999999999999,83.2
133,84.0,84.19999999999999,82.4
134,86.0,84.99999999999997,82.4
135,86.0,85.59999999999998,83.2
136,86.0,86.19999999999999,84.2
137,86.0,86.79999999999998,85.0
138,87.0,87.79999999999998,85.6
139,89.0,88.99999999999999,86.2
140,91.0,90.19999999999997,86.8
141,92.0,91.19999999999999,87.8
142,92.0,91.79999999999998,89.0
143,92.0,91.59999999999998,90.2
144,92.0,90.59999999999998,91.2
145,90.0,89.19999999999999,91.8
146,87.0,87.59999999999998,91.6
147,85.0,85.99999999999999,90.6
148,84.0,84.39999999999998,89.2
149,84.0,81.99999999999999,87.6
150,82.0,79.19999999999999,86.0
151,75.0,76.6,84.4
152,71.0,74.59999999999998,82.0
153,71.0,73.79999999999998,79.2
154,74.0,75.19999999999999,76.6
155,78.0,78.19999999999997,74.6
156,82.0,81.99999999999997,73.8
157,86.0,86.39999999999998,75.2
158,90.0,90.99999999999999,78.2
159,96.0,94.99999999999999,82.0
160,101.0,98.99999999999999,86.4
161,102.0,102.19999999999999,91.0
162,106.0,103.99999999999999,95.0
163,106.0,104.39999999999998,99.0
164,105.0,104.39999999999998,102.2
165,103.0,102.99999999999999,104.0
166,102.0,100.39999999999998,104.4
167,99.0,97.39999999999998,104.4
168,93.0,95.39999999999998,103.0
169,90.0,94.79999999999998,100.4
170,93.0,95.23999999999998,97.4
171,99.0,97.31999999999998,95.4
172,101.2,100.43999999999998,94.8
173,103.4,103.39999999999998,95.24
174,105.6,105.59999999999997,97.32000000000001
175,107.8,107.35999999999999,100.44000000000001
176,110.0,109.27999999999997,103.4
177,110.0,112.15999999999997,105.6
178,113.0,116.99999999999997,107.35999999999999
179,120.0,124.59999999999997,109.28
180,132.0,135.59999999999997,112.16
181,148.0,148.79999999999998,117.0
182,165.0,163.2,124.6
183,179.0,177.59999999999997,135.6
184,192.0,190.59999999999997,148.8
185,204.0,202.59999999999997,163.2
186,213.0,214.59999999999994,177.6
187,225.0,225.39999999999995,190.6
188,239.0,235.59999999999997,202.6
189,246.0,245.19999999999996,214.6
190,255.0,253.19999999999996,225.4
191,261.0,258.4,235.6
192,265.0,262.3999999999999,245.2
193,265.0,264.3999999999999,253.2
194,266.0,265.99999999999994,258.4
195,265.0,267.19999999999993,262.4
196,269.0,268.19999999999993,264.4
197,271.0,268.99999999999994,266.0
198,270.0,270.19999999999993,267.2
199,270.0,270.59999999999997,268.2
200,271.0,270.99999999999994,269.0
201,271.0,271.79999999999995,270.2
202,273.0,272.99999999999994,270.6
203,274.0,274.79999999999995,271.0
204,276.0,278.3999999999999,271.8
205,280.0,283.4,273.0
206,289.0,289.19999999999993,274.8
207,298.0,295.79999999999995,278.4
208,303.0,302.99999999999994,283.4
209,309.0,309.99999999999994,289.2
210,316.0,317.3999999999999,295.8
211,324.0,325.79999999999995,303.0
212,335.0,332.99999999999994,310.0
213,345.0,337.99999999999994,317.4
214,345.0,338.99999999999994,325.8
215,341.0,334.99999999999994,333.0
216,329.0,325.5999999999999,338.0
217,315.0,313.5999999999999,339.0
218,298.0,300.19999999999993,335.0
219,285.0,288.19999999999993,325.6
220,274.0,277.79999999999995,313.6
221,269.0,270.4,300.2
222,263.0,265.99999999999994,288.2
223,261.0,263.59999999999997,277.8
224,263.0,261.99999999999994,270.4
225,262.0,261.0,266.0
226,261.0,259.4,263.6
227,258.0,257.0,262.0
228,253.0,254.99999999999997,261.0
229,251.0,252.79999999999995,259.4
230,252.0,245.99999999999994,257.0
231,250.0,238.39999999999992,255.0
232,224.0,230.99999999999994,252.8
233,215.0,224.19999999999993,246.0
234,214.0,218.59999999999997,238.4
235,218.0,217.79999999999995,231.0
236,222.0,216.99999999999994,224.2
237,220.0,211.59999999999997,218.6
238,211.0,200.79999999999995,217.8
239,187.0,183.99999999999994,217.0
240,164.0,162.59999999999997,211.6
241,138.0,139.79999999999998,200.8
242,113.0,119.79999999999998,184.0
243,97.0,102.79999999999998,162.6
244,87.0,89.99999999999997,139.8
245,79.0,81.19999999999999,119.8
246,74.0,74.6,102.8
247,69.0,69.79999999999998,90.0
248,64.0,66.99999999999999,81.2
249,63.0,65.6,74.6
250,65.0,65.79999999999998,69.8
251,67.0,67.79999999999998,67.0
252,70.0,71.59999999999998,65.6
253,74.0,76.79999999999998,65.8
254,82.0,83.19999999999999,67.8
255,91.0,90.19999999999997,71.6
256,99.0,97.19999999999997,76.8
257,105.0,103.39999999999998,83.2
258,109.0,108.59999999999997,90.2
259,113.0,111.99999999999997,97.2
260,117.0,114.19999999999999,103.4
261,116.0,116.39999999999998,108.6
262,116.0,119.19999999999997,112.0
263,120.0,122.39999999999998,114.2
264,127.0,127.39999999999998,116.4
265,133.0,133.99999999999997,119.2
266,141.0,140.99999999999997,122.4
267,149.0,147.39999999999998,127.4
268,155.0,152.99999999999997,134.0
269,159.0,158.2,141.0
270,161.0,163.79999999999998,147.4
271,167.0,170.2,153.0
272,177.0,177.59999999999997,158.2
273,187.0,186.2,163.8
274,196.0,195.39999999999998,170.2
275,204.0,204.59999999999997,177.6
276,213.0,213.39999999999995,186.2
277,223.0,221.99999999999997,195.4
278,231.0,230.79999999999995,204.6
279,239.0,239.59999999999994,213.4
280,248.0,247.59999999999997,222.0
281,257.0,255.19999999999993,230.8
282,263.0,262.19999999999993,239.6
283,269.0,268.59999999999997,247.6
284,274.0,274.5999999999999,255.2
285,280.0,279.3999999999999,262.2
286,287.0,283.4,268.6
287,287.0,286.19999999999993,274.6
288,289.0,287.5999999999999,279.4
289,288.0,287.4,283.4
290,287.0,286.99999999999994,286.2
291,286.0,285.79999999999995,287.6
292,285.0,284.5999999999999,287.4
293,283.0,283.4,287.0
294,282.0,282.79999999999995,285.8
295,281.0,283.19999999999993,284.6
296,283.0,284.99999999999994,283.4
297,287.0,287.79999999999995,282.8
298,292.0,290.99999999999994,283.2
299,296.0,293.59999999999997,285.0
