,y,u_delta,u_gaus,u_hov,u_biexp,u_rem
1213,182.71999999999997,0.0,6.307261513839139,6.409450855128862,7.89111220555164,2.7423887594062144
1214,189.75999999999996,0.0,5.763308901041787,6.000798998630449,7.461758088208526,2.527387003723655
1215,197.39999999999995,0.0,5.250311096583237,5.614769772337497,7.052040557659559,2.3260932658722635
1216,205.39999999999995,0.0,4.768464308713976,5.250516651724051,6.66147160429711,2.1377486812749824
1217,213.79999999999995,0.0,4.294488028714398,4.732743812233117,5.990793164526014,1.9679395511747986
1218,222.39999999999995,0.0,3.8783834780674122,4.422314609158434,5.655743676011031,1.8091820769659681
1219,231.39999999999995,0.0,3.4918109075214447,4.130098156307664,5.337018712780381,1.66083779184069
1220,240.75999999999993,0.0,3.134088848794443,3.855273018356275,5.034081460492435,1.5222957583938017
1221,250.32,0.0,2.8043518963238556,3.5970242440308002,4.746380973506722,1.3929725938486022
1222,259.4799999999999,0.0,2.5015796289118257,3.354545879997032,4.473357582960329,1.2723122525526693
1223,267.91999999999996,0.0,2.2246247898907843,3.1270466955107126,4.214447557061831,1.1597857241465857
1224,275.11999999999995,0.0,1.9722403117957457,2.9137547626678773,3.9690870910686007,1.0548905397021722
1225,280.7199999999999,0.0,1.7431048390863952,2.713919030913529,3.7367156912539756,0.9571501242185729
1226,284.15999999999997,0.0,1.5358464707826118,2.526811427747601,3.516779042384555,0.8661130963022419
1227,285.3999999999999,0.0,1.349064512095878,2.3517286274728093,3.308731403903232,0.7813524973798298
1228,284.59999999999997,0.0,1.1813490886285214,2.187993531353606,3.112037585470947,0.7024649615793179
1229,281.9599999999999,0.0,1.0312985371084256,2.03495625257354,2.9261745734881637,0.6290698359599862
1230,277.75999999999993,0.0,0.8975345418405034,1.8919940942952704,2.7506328455550664,0.5608082677024797
1231,272.59999999999997,0.0,0.7787150352781176,1.758511629561793,2.5849174000127206,0.49734229203484337
1232,266.75999999999993,0.0,0.6735449238085711,1.6339408477604696,2.4285485432522247,0.438353917478318
1233,260.43999999999994,0.0,0.5807847357221895,1.5177407690040199,2.281062469707508,0.3835442061800669
1234,253.24,0.0,0.4992573173412908,1.4093972279542113,2.1420116597715415,0.3326323671812961
1235,245.11999999999998,7.0,0.42785272557408593,1.308422387235153,2.01096511977969,7.2853548569369035
1236,236.43999999999997,0.0,0.3655314810520782,1.669900399674914,3.308848870287222,7.241464496157426
1237,227.71999999999997,0.0,0.3113263559698081,2.5280072882660303,4.3924284461503955,7.185448540054442
1238,219.15999999999994,0.0,6.441821193432676,3.5099306439736675,5.287324582576874,7.100647826601654
1239,212.4,0.0,6.565445048017912,4.445338979744447,6.016449866029294,6.982908995641669
1240,207.95999999999998,0.0,6.679019010699908,5.263511228735032,6.600276702376177,6.833792369763436
1241,205.55999999999995,0.0,6.7805660150795575,5.94195143315228,7.057079876299193,6.657230573626513
1242,205.39999999999995,0.0,6.868304895155147,6.480806323105115,7.403156568079673,6.457910847306128
1243,208.07999999999998,0.0,6.940664115999855,6.890203992678481,7.653026424291047,6.240515508890944
1244,212.83999999999997,0.0,6.949902154930743,6.835203661453096,7.222151132857078,6.02202067390013
1245,219.23999999999995,0.0,6.956923213285089,6.763309522622326,6.856732715969094,5.803265207069689
1246,226.79999999999995,0.0,6.989205861816708,6.915112129931055,6.9566930383897265,5.576393443098712
1247,233.75999999999993,0.0,7.0,6.99003235555487,7.0,5.34442953818988
1248,237.47999999999993,0.0,6.989205861816708,7.0,6.994883410022003,5.109952472573627
1249,236.51999999999992,0.0,6.956923213285089,6.9555946484959,6.94863001560556,4.875141047414855
1250,230.35999999999996,0.0,6.903449817207414,6.866118945846036,6.867681157994207,4.641819177094848
1251,218.83999999999997,0.0,6.829276860453922,6.73970532273717,6.757720604639853,4.4114987235257415
1252,202.95999999999998,0.0,6.735081441994206,6.583430987863632,6.62375442373508,4.185418750385445
1253,185.23999999999995,0.0,6.621716282347358,6.403431331514726,6.470182320229327,3.9645809200004893
1254,167.39999999999995,0.0,6.490196873168644,6.205004586971245,6.300862112574197,3.7497810861634457
1255,150.47999999999996,0.0,6.341686337766568,5.992711240515427,6.119167915243921,3.541637376137241
1256,135.51999999999995,0.0,6.177478318092168,5.770458404838601,5.928042400984619,3.3406149380014662
1257,122.91999999999999,0.0,5.998978240046952,5.541579497656255,5.730043773789417,3.147047857735814
1258,112.2,0.0,5.807683335976989,5.308904197095485,5.527388043990673,2.9611584035250575
1259,103.03999999999996,0.0,5.605161820417656,5.074820524187422,5.321987106871393,2.7830739234462896
1260,95.15999999999998,0.0,5.393031622295632,4.841330216412181,5.115482840167427,2.6128416606306555
1261,88.43999999999997,0.0,5.172939073962161,4.610097791201046,4.909277455523761,2.4504417109478025
1262,83.03999999999999,0.0,4.946537945004014,4.382493922289563,4.704561597980865,2.295798334880199
1263,78.91999999999999,0.0,4.715469187413087,4.159634242277368,4.502338460594573,2.148789814359847
1264,75.99999999999997,0.0,4.4813417292965525,3.9424129008485043,4.303446004378394,2.009257007992936
1265,74.19999999999997,0.0,4.245714617988434,3.73153285725447,4.108576562197386,1.8770107805911405
1266,72.96,0.0,4.010080771455453,3.527532442742755,3.918294695034968,1.7518384165570398
1267,71.75999999999999,0.0,3.7758525506633864,3.330808411499276,3.7330528675159016,1.6335091422464354
1268,70.43999999999998,0.0,3.544349316536704,3.141636565609993,3.553205572580224,1.5217788750985826
1269,68.96,0.0,3.3167870847675482,2.9601899916716996,3.3790218389626276,1.4163942809126122
1270,67.27999999999999,0.0,3.094270341437265,2.7865546084749404,3.210696464757201,1.3170962193861602
1271,65.75999999999998,0.0,2.8777860335503123,2.620742905862555,3.0483599818384546,1.2236226681149105
1272,64.6,0.0,2.6681997023709476,2.462706317401509,2.892087466656802,1.13571118572915
1273,63.83999999999999,0.0,2.466253684968479,2.3123458891803743,2.7419064114401843,1.0531009599953558
1274,63.39999999999999,0.0,2.272567271508448,2.1695208586585215,2.5978037299104946,0.9755344980384304
1275,63.27999999999999,0.0,2.087638673269951,2.034056816120788,2.4597318524553837,0.9027590287908179
1276,63.27999999999999,0.0,1.9118486296124493,1.9057530921126762,2.3276142306868968,0.8345276316697835
1277,63.35999999999999,0.0,1.7454654614410736,1.784388393158865,2.2013500928682066,0.7706001174469679
1278,63.48,0.0,1.5886513642087154,1.6697255060526086,2.0808187287628317,0.7107437200706243
